EventName,DisasterType,City,Latitude,Longitude,Year,Fatalities,Injuries,InsuredCostMillions,Month,State
Bushfire - Black Thursday Victoria,Bushfire,Melbourne,-37.712608,144.495866,1851,12,,,2,Victoria
Bushfire - Red Tuesday,Bushfire,Melbourne,-37.813825,144.959165,1898,12,,,2,Victoria
Black Summer - New South Wales,Bushfire,New South Wales,-31.061251,147.255548,1,26,,1880000000,7,New South Wales
Black Summer - Queensland,Bushfire,Queensland,-20.83322,142.894144,1,,,70000000,9,Queensland
Black Summer - Victoria,Bushfire,Victoria,-37.508367,144.769126,1,5,,18600000,11,Victoria
Black Summer - South Australia,Bushfire,South Australia,-29.989555,136.206564,1,4,,186000000,11,South Australia
"Eastern Victorian bushfires, 2019",Bushfire,East Victoria,-37.384909,147.790291,1,,,36000000,3,Victoria
"Tathra bushfire, 2018",Bushfire,Tathra,-36.704251,150.02377,18,,,63516711,3,Australian Capital Territory
"South-west complex fires, 2018",Bushfire,South-west Victoria,-38.002183,141.902427,17,,,18972524,3,Victoria
Waroona-Yarloop Fire,Bushfire,"Waroona, Yarloop",-32.988123,115.748313,5,2,,71000000,1,Western Australia
Wye River - Jamieson track / Great Ocean Road Bushfire,Bushfire,Wye River,-38.773555,143.992362,19,,,120000000,12,Victoria
"Pinery fire, 2015",Bushfire,Pinery,-33.937512,138.702791,25,2,,61000000,11,South Australia
"Sampson Flat bushfire, 2015",Bushfire,Sampson Flat,-34.953285,138.81853,2,,,24900000,1,South Australia
"Bushfire – Perth Hills, Western Australia 2014",Bushfire,Perth,-31.945177,115.878321,12,1,,15000000,1,Western Australia
Bushfire - Victoria,Bushfire,"Stawell, Yea, Moondarra, Grampians, Kinglake and Anakie",-37.388994,144.505201,1,4,,22000000,1,Victoria
"Bushfire - Coonabarabran, 2013",Bushfire,Coonabarabran,-31.276825,149.287333,7,,,35000000,1,New South Wales
"Bushfire - Hazelwood open cut mine fire, Morwell",Bushfire,Morwell,-37.742667,146.795004,9,,,100000000,2,Victoria
"Dunalley and Tasmanian bushfires, 2013",Bushfire,"Dunalley, Forcett, Lake Repulse ",-42.652966,147.158253,1,1,,89000000,1,Tasmania
Bushfire - Augusta - Margaret River,Bushfire,Bunbury,-32.961902,116.137525,23,,,53000000,11,Western Australia
Bushfire - Perth Hill Bushfires,Bushfire,Perth,-31.680834,115.403598,5,,,35000000,2,Western Australia
"Bushfire - Black Saturday, Victoria",Bushfire,"Cooma (VIC) , Mount Gambier (VIC) , Warrnambool (VIC) , Wilsons Promontory , Melbourne",-37.637994,144.519516,7,173,,1070000000,2,Victoria
Bushfire - Boorabbin National Park,Bushfire,Kalgoorlie,-30.808283,121.365573,28,3,,,12,Western Australia
Bushfire - Great Divide Complex ,Bushfire,"Cooma (VIC) , Melbourne",-37.8136,144.9631,1,1,,,12,Victoria
Bushfire - Victoria,Bushfire,"Mount Gambier (VIC) , Wilsons Promontory , Melbourne",-37.388994,144.505201,31,4,,22400000,12,Victoria
Bushfire - Eyre Peninsula,Bushfire,Adelaide,-34.986605,138.384486,10,9,,27700000,1,South Australia
Bushfire - Canberra,Bushfire,Canberra (ACT),-35.264974,149.141399,18,4,,,1,Australian Capital Territory
"Bushfire - North-Eastern Victoria, Alpine Region",Bushfire,Cooma (VIC),-35.810362,149.298975,8,,,12000000,1,Victoria
Bushfire - Sydney,Bushfire,Sydney,-33.872063,151.174189,9,,,25000000,10,Australian Capital Territory
Bushfire - Black Christmas,Bushfire,"Dubbo , Sydney , Wollongong , Canberra (ACT)",-34.278068,149.969835,24,,,69000000,12,Australian Capital Territory
"Bushfire – Mt Ku-ring-gai, New South Wales 2000",Bushfire,Mt Ku-Ring-gai,-33.713659,151.289335,8,4,,,6,New South Wales
